"ENSEMBL","log2FoldChange","pvalue","padj"
"ENSMUSG00000051951",-1.60635076597104,0.686969985840933,NA
"ENSMUSG00000103377",0.934200463400389,0.832135192999819,NA
"ENSMUSG00000102331",-0.130254159649683,0.965177561208208,NA
"ENSMUSG00000025902",0.506964147654908,0.127597955567081,0.667976160833621
"ENSMUSG00000104238",-0.0275495227811142,0.995012612068299,NA
"ENSMUSG00000102269",-0.373926429917794,0.653950216673947,NA
"ENSMUSG00000118917",0.119873392361804,0.956206080029535,NA
"ENSMUSG00000104328",-0.989327533373392,0.822390149836992,NA
"ENSMUSG00000098104",-0.504559523861057,0.791603056025916,NA
"ENSMUSG00000135930",0.934191121960376,0.832136846558769,NA
"ENSMUSG00000103265",-0.0275956184142113,0.995004267321109,NA
"ENSMUSG00000103922",0.71740568582848,0.327692961498778,0.814438198394683
"ENSMUSG00000033845",0.135265858756653,0.59476445365808,0.912162094850347
"ENSMUSG00000102275",-0.589373024837404,0.267917744036413,0.780803693605433
"ENSMUSG00000120403",-0.368823921383401,0.574334373588961,0.905736285613874
"ENSMUSG00000136002",-1.30274962759477,0.405782777731595,NA
"ENSMUSG00000025903",0.00424095689511224,0.987393727800845,0.998627448256382
"ENSMUSG00000104217",-1.87381290510548,0.668111202296575,NA
"ENSMUSG00000137875",0.0570194895092466,0.937383176126259,NA
"ENSMUSG00000033813",0.0495636304887669,0.84803012104549,0.972856920790537
"ENSMUSG00000062588",-0.503243315528251,0.743715239941008,NA
"ENSMUSG00000103280",-0.390434630160184,0.787278366955799,NA
"ENSMUSG00000002459",1.87877870932175,0.298928191348545,NA
"ENSMUSG00000033793",0.0251156683128212,0.89580942842605,0.983421846115788
"ENSMUSG00000143188",-0.441235925506142,0.724216707630035,NA
"ENSMUSG00000143351",-0.027586888631902,0.995005847683934,NA
"ENSMUSG00000090031",-0.448290945060198,0.31969702381268,0.809738635974579
"ENSMUSG00000025907",-0.247256739845695,0.488840114299421,0.878335717854013
"ENSMUSG00000143943",-0.989327533373392,0.822390149836992,NA
"ENSMUSG00000103355",-0.027586888631902,0.995005847683934,NA
"ENSMUSG00000103845",-0.027592754052681,0.995004785859867,NA
"ENSMUSG00000033740",-2.1445702990963,0.621983703211262,NA
"ENSMUSG00000102135",0.934185256542943,0.83213788481574,NA
"ENSMUSG00000120372",-0.500692265709674,0.673226725955396,NA
"ENSMUSG00000051285",-0.223583610449814,0.522648794013487,0.891269379518804
"ENSMUSG00000138092",1.48887298873289,0.462368331515406,NA
"ENSMUSG00000098201",-0.0276006534204699,0.994428270775204,NA
"ENSMUSG00000103509",0.0899498023718242,0.915059311739925,0.986592350827361
"ENSMUSG00000126455",-0.0275868886319025,0.995005847683933,NA
